Choice,SJT,Argument,SubjID,convincing,interesting,informative,novel,logical,emotional,agree,decide,Arg.Content,Arg.Subj.ID,SJT_dummy,ArgID,Jaccard,Subj.BATs,Arg.Bats
2,3,3,111,4,4,4,3,4,2,4,4,"If there is no communication with the project manager about the lack and level of communication, it will not improve. This means that this same scenario could occur again. Also, it will be necessary to meet with the customer to extend the deadline because it is not feasible to take on 50% of the project alone in a week if you have only completed half in a number of weeks with a team. There is no reason to place the burden of this mistake made by the project manager on yourself alone.",arg.subj.24,TRUE,23,0.142857143,"important,cautious,practical,skillful,humorless,moody,cold,shrewd,humorous,happy,sentimental,sociable,superficial,wasteful,wavering,dishonest,question,reward,manage,careful,delegate,social,monitor,discipline","intelligent,reliable,practical,skillful,stern,critical,dominating,persistent,warm,tolerant,helpful,sociable,superficial,irresponsible,vain,impulsive,responsible,hands-off,manage,adequate,delegate,network,control,influence"
2,2,8,33,4,4,4,3,2,2,2,2,"I believe being open and honest with the employee is very important.  I think discussing the current issues in their work while bringing up the fact that you know they can do better helps balance things out.  If someone isn't putting their full effort into a project it has an effect on everyone else working on that project.  If the employee doesn't turn their behavior around, I don't want them to feel blindsided when the discussion gets more serious.",arg.subj.3,FALSE,10,0.142857143,"serious,important,practical,cautious,stern,critical,humorless,persistent,humorous,warm,happy,sentimental,irresponsible,wasteful,dishonest,impulsive,adequate,reward,careful,question,network,influence,discipline,social","intelligent,reliable,practical,skillful,stern,critical,dominating,persistent,modest,warm,tolerant,helpful,superficial,vain,dishonest,wavering,responsible,hands-on,hands-off,manage,delegate,monitor,control,recognizable"
1,2,5,34,2,3,4,2,2,3,4,1,"There may be outside distractions that are affecting his work performance. He's proven in the past that he is more than capable of doing above average work, so we should give his the opportunity to improve.  Maybe we are not challenging him enough or not giving enough guidance. We need to let him know that we expect more from him and it has been noted that his work has slipped. We should first try to support him if we can and let him know that we will.",arg.subj.30,FALSE,38,0.333333333,"intelligent,reliable,cautious,industrious,persistent,critical,shrewd,cold,modest,tolerant,helpful,sociable,wavering,unintelligent,impulsive,dishonest,reward,question,adequate,manage,social,network,monitor,recognizable","intelligent,reliable,practical,skillful,stern,critical,shrewd,dominating,modest,tolerant,helpful,sociable,irresponsible,vain,impulsive,dishonest,responsible,hands-on,hands-off,manage,discipline,delegate,control,recognizable"
1,2,9,18,4,4,3,3,4,2,4,2,"A discussion about the employee's behavior is necessary to determine a future course of action. There are numerous reasons, some of which could easily be fixed, that could explain his problematic behavior. Meeting to evaluate his needs and discuss the company's and employees goals is the best step.",arg.subj.20,FALSE,1,0.333333333,"industrious,cautious,serious,practical,shrewd,critical,dominating,moody,humorous,happy,tolerant,helpful,wavering,impulsive,dishonest,superficial,careful,responsible,question,adequate,recognizable,monitor,control,influence","intelligent,reliable,serious,skillful,stern,critical,dominating,persistent,modest,warm,tolerant,helpful,vain,impulsive,dishonest,wasteful,careful,responsible,hands-on,manage,delegate,monitor,control,influence"
2,2,9,123,3,3,3,3,5,1,3,2,It is important as a leader of a team to set the level of expectation at all times. There is no room for ambiguity as this can lead to loose interpretations or conflict over what was mandated at the beginning of the working relationship. It is also important to openly express praise and acknowledgement for past achievements because often team members simply lack motivation or sense of purpose and giving them that can often lead to an improved sense of self and identity within the organisation and team.,arg.subj.18,FALSE,28,0.6,"important,intelligent,cautious,practical,critical,shrewd,dominating,persistent,happy,tolerant,sentimental,sociable,wasteful,vain,impulsive,wavering,careful,hands-on,manage,adequate,monitor,network,recognizable,influence","important,intelligent,reliable,practical,critical,shrewd,dominating,persistent,warm,tolerant,helpful,sociable,superficial,vain,impulsive,wavering,careful,hands-on,manage,adequate,discipline,delegate,recognizable,influence"
1,3,3,40,2,2,2,3,2,4,3,1,"I would personally take over the project so that I could deliver the end result to the client in a timely fashion as planned. It is not the fault of the client that my team couldn't handle the project, and, as such, the client should not have to suffer. Furthermore, I can no longer trust my project manager not only because he or she has done a poor job executing, but has also lied about his/her progress. If he/she had been honest, perhaps I could have helped them achieve their goal.",arg.subj.16,TRUE,20,0.142857143,"important,practical,reliable,serious,moody,shrewd,cold,humorless,warm,humorous,sentimental,modest,superficial,wavering,impulsive,dishonest,question,reward,responsible,adequate,monitor,delegate,network,control","important,intelligent,reliable,skillful,stern,critical,dominating,persistent,happy,tolerant,helpful,sociable,superficial,vain,impulsive,wasteful,careful,hands-on,manage,adequate,discipline,delegate,social,influence"
2,3,5,128,4,4,4,4,4,4,4,2,"I don't think a leader can or should always step in and take over projects when there is a problem. This would be a bad precedent to set. It makes it look like I'm there to clean up the messes made by others instead of making them face the consequences. Of course I will be involved, but the project manager needs to be held responsible too. The onus will be on me to explain things to the customer and oversee the rest of the project, but I don't think taking it over completely is the right way to go.",arg.subj.8,TRUE,12,0.11627907,"important,practical,serious,cautious,stern,moody,humorless,cold,happy,sentimental,warm,humorous,irresponsible,impulsive,wavering,unintelligent,adequate,hands-on,hands-off,reward,network,social,control,recognizable","important,intelligent,reliable,skillful,stern,critical,dominating,persistent,happy,helpful,sociable,humorous,superficial,vain,dishonest,wasteful,question,careful,responsible,manage,discipline,delegate,control,influence"
1,3,9,44,5,4,5,5,5,1,5,4,"I think at this point moving forward is all about damage control. There is no way that the other 50% of the project is going to be completed in time, so it would be my job to step in, take over the project management and manage client expectations. I would want to meet with the client to determine which aspects of the project are needed first so we can prioritize those. After that, the next steps would would be to lay out a clear road map to the client about when the project will be finished and the steps we are taking to ensure the problem will not be repeated.",arg.subj.3,TRUE,14,0.142857143,"important,industrious,practical,serious,cold,critical,humorless,persistent,humorous,sentimental,sociable,happy,unintelligent,wasteful,dishonest,impulsive,question,adequate,hands-off,manage,discipline,influence,network,social","intelligent,reliable,practical,skillful,stern,critical,dominating,persistent,modest,warm,tolerant,helpful,superficial,vain,dishonest,wavering,responsible,hands-on,hands-off,manage,delegate,monitor,control,recognizable"
1,3,5,41,4,5,5,2,4,3,5,2,"In this situation, I will take on the approach of meeting the customer and determine the critical requirements to ensure that the project is completed on time. Whenever a group project is assigned, it is the responsibility of all members to collaborate and work together to reach completion. However, I have no problem taking over the project on my own if that is the only way to make sure work is done correctly and efficiently. From previous past work experiences, while working on projects, it is very normal for one person to do more work compared to the other group members. This situation is no different. I would have to take over the project and work extra hours to meet the deadline. I picked this approach because a responsible worker will do whatever it takes to finish the job even if the work share is not evenly divided.",arg.subj.14,TRUE,25,0.333333333,"industrious,reliable,serious,skillful,stern,critical,dominating,shrewd,modest,happy,humorous,sociable,superficial,wavering,wasteful,unintelligent,responsible,hands-on,hands-off,question,discipline,network,control,influence","important,cautious,intelligent,practical,stern,critical,dominating,persistent,modest,warm,helpful,sociable,superficial,vain,impulsive,dishonest,responsible,hands-on,manage,adequate,discipline,network,control,influence"
2,3,7,65,1,1,2,4,3,2,1,1,"Taking over the project is less likely to lead to completion of the project given how little of the project is completed. Notifying the client is important, and, given the deadline, it is unlikely to be completed on time anyway. Because the project manager has already been working on the project, they are most knowledgeable about the constraints of the project. If I were to take over the project, it would almost be like starting over again. Also, in the process of taking over the project, the project manager wouldn't have the opportunity to learn from their mistakes and improve.",arg.subj.21,TRUE,35,0.230769231,"serious,practical,cautious,skillful,moody,critical,cold,shrewd,warm,tolerant,humorous,sentimental,dishonest,irresponsible,impulsive,wasteful,adequate,responsible,hands-on,question,discipline,control,social,influence","important,industrious,intelligent,skillful,stern,critical,dominating,persistent,happy,tolerant,helpful,sociable,superficial,vain,impulsive,wasteful,careful,responsible,hands-on,manage,discipline,delegate,monitor,influence"
